node_id,type,x,y,x_m,y_m,region,degree,connected_nodes,is_door
R2_N0,junction,240,77,2.8000000000000003,-0.55,2,11,"R2_N2, R2_N3, R2_N4, R2_N5, R2_N8, R2_N16",False
R2_N1,junction,202,83,0.9,-0.8500000000000001,2,13,"R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N10, R2_N11, R2_N18, R2_N26",False
R2_N2,junction,232,86,2.4000000000000004,-1.0,2,15,"R2_N0, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N16",False
R2_N3,junction,221,88,1.85,-1.1,2,13,"R2_N0, R2_N1, R2_N2, R2_N4, R2_N5, R2_N6, R2_N7, R2_N10, R2_N11, R2_N16, R2_N18, R2_N19, R2_N20",False
R2_N4,junction,222,88,1.9000000000000001,-1.1,2,13,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N5, R2_N6, R2_N7, R2_N10, R2_N11, R2_N16, R2_N18, R2_N19, R2_N20",False
R2_N5,junction,222,89,1.9000000000000001,-1.1500000000000001,2,11,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N6, R2_N7, R2_N16, R2_N18, R2_N19, R2_N20",False
R2_N6,junction,209,90,1.25,-1.2000000000000002,2,12,"R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N7, R2_N10, R2_N11, R2_N16, R2_N26",False
R2_N7,junction,192,96,0.4,-1.5,2,16,"R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N10, R2_N11",False
R2_N8,junction,245,97,3.0500000000000003,-1.55,2,13,"R2_N0, R2_N2, R2_N26",False
R2_N10,junction,195,99,0.55,-1.6500000000000001,2,15,"R2_N1, R2_N3, R2_N4, R2_N6, R2_N7, R2_N11",False
R2_N11,junction,196,99,0.6000000000000001,-1.6500000000000001,2,15,"R2_N1, R2_N3, R2_N4, R2_N6, R2_N7, R2_N10",False
R2_N16,junction,222,106,1.9000000000000001,-2.0,2,13,"R2_N0, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N18, R2_N19, R2_N20, R2_N26",False
R2_N18,junction,223,112,1.9500000000000002,-2.3000000000000003,2,9,"R2_N1, R2_N3, R2_N4, R2_N5, R2_N16, R2_N19, R2_N20, R2_N26",False
R2_N19,junction,222,113,1.9000000000000001,-2.35,2,9,"R2_N3, R2_N4, R2_N5, R2_N16, R2_N18, R2_N20, R2_N26",False
R2_N20,junction,223,113,1.9500000000000002,-2.35,2,10,"R2_N3, R2_N4, R2_N5, R2_N16, R2_N18, R2_N19, R2_N26",False
R2_N26,junction,234,116,2.5,-2.5,2,22,"R2_N1, R2_N6, R2_N8, R2_N16, R2_N18, R2_N19, R2_N20",False
R3_N9,junction,247,98,3.1500000000000004,-1.6,3,14,"R3_N13, R3_N14, R3_N15, R3_N17, R3_N22, R3_N23, R3_N24, R3_N27, R3_N30",False
