node_id,type,x,y,x_m,y_m,region,degree,connected_nodes,is_door
R2_N0,junction,192,138,0.5,-0.4,2,14,"R2_N9, R2_N10, R2_N11, R2_N19, R2_N43, R2_N52, R2_N53",False
R2_N1,junction,223,139,2.0500000000000003,-0.45,2,28,"R2_N9, R2_N10, R2_N11, R2_N19, R2_N26, R2_N28, R2_N29, R2_N42, R2_N43, R2_N51, R2_N52, R2_N53",False
R2_N9,junction,207,153,1.25,-1.1500000000000001,2,18,"R2_N0, R2_N1, R2_N10, R2_N11, R2_N19, R2_N26, R2_N28, R2_N29, R2_N43, R2_N51, R2_N52, R2_N53",False
R2_N10,junction,208,153,1.3,-1.1500000000000001,2,18,"R2_N0, R2_N1, R2_N9, R2_N11, R2_N19, R2_N26, R2_N28, R2_N29, R2_N43, R2_N51, R2_N52, R2_N53",False
R2_N11,junction,207,154,1.25,-1.2000000000000002,2,18,"R2_N0, R2_N1, R2_N9, R2_N10, R2_N19, R2_N26, R2_N28, R2_N29, R2_N43, R2_N51, R2_N52, R2_N53",False
R2_N19,junction,209,162,1.35,-1.6,2,15,"R2_N0, R2_N1, R2_N9, R2_N10, R2_N11, R2_N26, R2_N28, R2_N29, R2_N42, R2_N43, R2_N51, R2_N52, R2_N53",False
R2_N26,junction,208,168,1.3,-1.9000000000000001,2,12,"R2_N1, R2_N9, R2_N10, R2_N11, R2_N19, R2_N51, R2_N52, R2_N53, R2_N28, R2_N29, R2_N42, R2_N43",False
R2_N28,junction,207,169,1.25,-1.9500000000000002,2,12,"R2_N1, R2_N9, R2_N10, R2_N11, R2_N19, R2_N51, R2_N52, R2_N53, R2_N26, R2_N29, R2_N42, R2_N43",False
R2_N29,junction,208,169,1.3,-1.9500000000000002,2,12,"R2_N1, R2_N9, R2_N10, R2_N11, R2_N19, R2_N51, R2_N52, R2_N53, R2_N26, R2_N28, R2_N42, R2_N43",False
R2_N42,junction,193,184,0.55,-2.7,2,8,"R2_N1, R2_N19, R2_N51, R2_N52, R2_N53, R2_N26, R2_N28, R2_N29",False
R2_N43,junction,223,184,2.0500000000000003,-2.7,2,19,"R2_N0, R2_N1, R2_N9, R2_N10, R2_N11, R2_N19, R2_N51, R2_N52, R2_N53, R2_N26, R2_N28, R2_N29",False
R2_N51,junction,225,162,2.15,-1.6,2,34,"R2_N1, R2_N9, R2_N10, R2_N11, R2_N19, R2_N26, R2_N28, R2_N29, R2_N42, R2_N43, R2_N52, R2_N53",False
R2_N52,junction,226,162,2.2,-1.6,2,35,"R2_N0, R2_N1, R2_N9, R2_N10, R2_N11, R2_N19, R2_N51, R2_N26, R2_N28, R2_N29, R2_N42, R2_N43, R2_N53",False
R2_N53,junction,227,162,2.25,-1.6,2,34,"R2_N0, R2_N1, R2_N9, R2_N10, R2_N11, R2_N19, R2_N51, R2_N52, R2_N26, R2_N28, R2_N29, R2_N42, R2_N43",False
R3_N4,junction,300,140,5.9,-0.5,3,21,"R3_N5, R3_N7, R3_N8, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N48",False
R3_N5,junction,320,140,6.9,-0.5,3,17,"R3_N4, R3_N7, R3_N8, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N46, R3_N47, R3_N48, R3_N50",False
R3_N7,junction,310,150,6.4,-1.0,3,15,"R3_N4, R3_N5, R3_N8, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N48",False
R3_N8,junction,310,152,6.4,-1.1,3,15,"R3_N4, R3_N5, R3_N7, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N48",False
R3_N12,junction,279,158,4.8500000000000005,-1.4000000000000001,3,34,"R3_N4, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N13,junction,286,158,5.2,-1.4000000000000001,3,23,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N47, R3_N49, R3_N50",False
R3_N15,junction,285,159,5.15,-1.4500000000000002,3,25,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N13, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N16,junction,287,159,5.25,-1.4500000000000002,3,23,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N13, R3_N15, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N17,junction,299,161,5.8500000000000005,-1.55,3,21,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N13, R3_N15, R3_N16, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N18,junction,300,161,5.9,-1.55,3,21,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N21,junction,300,162,5.9,-1.6,3,21,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N22,junction,320,162,6.9,-1.6,3,21,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N32,junction,300,170,5.9,-2.0,3,21,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N35,junction,299,175,5.8500000000000005,-2.25,3,24,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N37,junction,299,179,5.8500000000000005,-2.45,3,22,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N40,junction,299,180,5.8500000000000005,-2.5,3,21,"R3_N4, R3_N7, R3_N8, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N41,junction,300,180,5.9,-2.5,3,19,"R3_N4, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N46, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N46,junction,315,184,6.65,-2.7,3,17,"R3_N5, R3_N12, R3_N15, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N47, R3_N48, R3_N49, R3_N50",False
R3_N47,junction,320,184,6.9,-2.7,3,18,"R3_N5, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N48, R3_N49, R3_N50",False
R3_N48,junction,294,185,5.6000000000000005,-2.75,3,20,"R3_N4, R3_N5, R3_N7, R3_N8, R3_N12, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N49, R3_N50",False
R3_N49,junction,309,185,6.3500000000000005,-2.75,3,18,"R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N50",False
R3_N50,junction,314,185,6.6000000000000005,-2.75,3,20,"R3_N5, R3_N12, R3_N13, R3_N15, R3_N16, R3_N17, R3_N18, R3_N21, R3_N22, R3_N32, R3_N35, R3_N37, R3_N40, R3_N41, R3_N46, R3_N47, R3_N48, R3_N49",False
R4_N2,junction,247,139,3.25,-0.45,4,24,"R4_N3, R4_N6, R4_N14, R4_N20, R4_N23, R4_N24, R4_N25, R4_N27, R4_N30, R4_N31, R4_N33, R4_N34, R4_N36, R4_N38, R4_N39, R4_N44, R4_N45",False
