node1,node2,distance,same_region
0,9,21.21 px,True
0,10,21.93 px,True
0,11,21.93 px,True
0,19,29.41 px,True
0,23,55.90 px,False
0,27,67.08 px,False
0,30,66.65 px,False
0,31,68.00 px,False
0,36,71.85 px,False
0,39,73.24 px,False
0,43,55.47 px,True
0,44,71.70 px,False
0,52,41.62 px,True
0,53,42.44 px,True
1,2,24.00 px,False
1,3,28.00 px,False
1,6,26.08 px,False
1,9,21.26 px,True
1,10,20.52 px,True
1,11,21.93 px,True
1,19,26.93 px,True
1,23,30.61 px,False
1,24,39.62 px,False
1,25,39.60 px,False
1,26,32.65 px,True
1,27,41.01 px,False
1,28,34.00 px,True
1,29,33.54 px,True
1,30,41.04 px,False
1,31,42.45 px,False
1,33,42.52 px,False
1,34,43.93 px,False
1,36,48.83 px,False
1,38,49.65 px,False
1,39,50.22 px,False
1,42,54.08 px,True
1,43,45.00 px,True
1,44,51.00 px,False
1,45,55.80 px,False
1,51,23.09 px,True
1,52,23.19 px,True
1,53,23.35 px,True
2,3,4.00 px,True
2,6,2.83 px,True
2,14,20.62 px,True
2,20,23.19 px,True
2,23,24.52 px,True
2,24,27.46 px,True
2,25,28.28 px,True
2,27,29.43 px,True
2,30,30.27 px,True
2,31,31.40 px,True
2,33,32.25 px,True
2,34,33.38 px,True
2,35,63.25 px,False
2,36,40.20 px,True
2,38,41.19 px,True
2,39,41.30 px,True
2,43,51.00 px,False
2,44,45.00 px,True
2,45,45.89 px,True
2,50,81.27 px,False
2,51,31.83 px,False
2,52,31.14 px,False
2,53,30.48 px,False
3,6,2.83 px,True
3,14,20.02 px,True
3,20,23.02 px,True
3,23,25.63 px,True
3,24,27.02 px,True
3,25,28.00 px,True
3,27,29.02 px,True
3,30,30.00 px,True
3,31,31.02 px,True
3,33,32.00 px,True
3,34,33.02 px,True
3,35,60.00 px,False
3,36,40.00 px,True
3,37,62.48 px,False
3,38,41.00 px,True
3,39,41.01 px,True
3,40,63.13 px,False
3,41,63.89 px,False
3,43,53.00 px,False
3,44,45.18 px,True
3,45,45.28 px,True
3,49,74.03 px,False
3,51,34.71 px,False
3,52,33.97 px,False
3,53,33.24 px,False
4,5,20.00 px,True
4,7,14.14 px,True
4,8,15.62 px,True
4,12,27.66 px,True
4,13,22.80 px,True
4,15,24.21 px,True
4,16,23.02 px,True
4,17,21.02 px,True
4,18,21.00 px,True
4,21,22.00 px,True
4,22,29.73 px,True
4,32,30.00 px,True
4,35,35.01 px,True
4,37,39.01 px,True
4,38,63.25 px,False
4,39,62.48 px,False
4,40,40.01 px,True
4,41,40.00 px,True
4,44,68.88 px,False
4,45,62.23 px,False
4,48,45.40 px,True
5,7,14.14 px,True
5,8,15.62 px,True
5,13,38.47 px,True
5,15,39.82 px,True
5,16,38.08 px,True
5,17,29.70 px,True
5,18,29.00 px,True
5,21,29.73 px,True
5,22,22.00 px,True
5,32,36.06 px,True
5,35,40.82 px,True
5,37,44.29 px,True
5,46,44.28 px,True
5,47,44.00 px,True
5,48,51.97 px,True
5,50,45.40 px,True
6,14,18.25 px,True
6,20,21.02 px,True
6,23,23.09 px,True
6,24,25.18 px,True
6,25,26.08 px,True
6,27,27.17 px,True
6,30,28.07 px,True
6,31,29.15 px,True
6,33,30.07 px,True
6,34,31.14 px,True
6,35,60.46 px,False
6,36,38.05 px,True
6,38,39.05 px,True
6,39,39.12 px,True
6,43,50.25 px,False
6,44,43.05 px,True
6,45,43.57 px,True
6,46,78.77 px,False
6,50,78.49 px,False
6,51,31.89 px,False
6,52,31.14 px,False
6,53,30.41 px,False
7,8,2.00 px,True
7,13,25.30 px,True
7,15,26.57 px,True
7,16,24.70 px,True
7,17,15.56 px,True
7,18,14.87 px,True
7,21,15.62 px,True
7,22,15.62 px,True
7,32,22.36 px,True
7,35,27.31 px,True
7,37,31.02 px,True
7,40,31.95 px,True
7,48,38.48 px,True
8,13,24.74 px,True
8,15,25.96 px,True
8,16,24.04 px,True
8,17,14.21 px,True
8,18,13.45 px,True
8,21,14.14 px,True
8,22,14.14 px,True
8,32,20.59 px,True
8,35,25.50 px,True
8,37,29.15 px,True
8,40,30.08 px,True
8,48,36.67 px,True
9,10,1.00 px,True
9,11,1.00 px,True
9,19,9.22 px,True
9,25,46.17 px,False
9,26,15.03 px,True
9,27,47.43 px,False
9,28,16.00 px,True
9,29,16.03 px,True
9,30,46.82 px,False
9,31,48.10 px,False
9,33,47.54 px,False
9,34,48.85 px,False
9,43,34.89 px,True
9,51,20.12 px,True
9,52,21.02 px,True
9,53,21.93 px,True
10,11,1.41 px,True
10,19,9.06 px,True
10,25,45.22 px,False
10,26,15.00 px,True
10,27,46.49 px,False
10,28,16.03 px,True
10,29,16.00 px,True
10,30,45.88 px,False
10,31,47.17 px,False
10,33,46.62 px,False
10,34,47.93 px,False
10,43,34.44 px,True
10,51,19.24 px,True
10,52,20.12 px,True
10,53,21.02 px,True
11,19,8.25 px,True
11,25,45.88 px,False
11,26,14.04 px,True
11,27,47.13 px,False
11,28,15.00 px,True
11,29,15.03 px,True
11,30,46.49 px,False
11,31,47.76 px,False
11,33,47.17 px,False
11,34,48.47 px,False
11,43,34.00 px,True
11,51,19.70 px,True
11,52,20.62 px,True
11,53,21.54 px,True
12,13,7.00 px,True
12,14,27.02 px,False
12,15,6.08 px,True
12,16,8.06 px,True
12,17,20.22 px,True
12,18,21.21 px,True
12,20,29.27 px,False
12,21,21.38 px,True
12,22,41.19 px,True
12,23,37.34 px,False
12,24,28.16 px,False
12,25,29.41 px,False
12,27,28.79 px,False
12,30,30.08 px,False
12,31,29.55 px,False
12,32,24.19 px,True
12,33,30.87 px,False
12,34,30.41 px,False
12,35,26.25 px,True
12,37,29.00 px,True
12,39,34.83 px,False
12,40,29.73 px,True
12,41,30.41 px,True
12,44,41.23 px,False
12,45,34.71 px,False
12,46,44.41 px,True
12,47,48.55 px,True
12,48,30.89 px,True
12,49,40.36 px,True
12,50,44.20 px,True
12,51,54.15 px,False
12,52,53.15 px,False
12,53,52.15 px,False
13,14,34.01 px,False
13,15,1.41 px,True
13,16,1.41 px,True
13,17,13.34 px,True
13,18,14.32 px,True
13,21,14.56 px,True
13,22,34.23 px,True
13,32,18.44 px,True
13,35,21.40 px,True
13,37,24.70 px,True
13,40,25.55 px,True
13,41,26.08 px,True
13,47,42.80 px,True
13,49,35.47 px,True
13,50,38.90 px,True
13,51,61.13 px,False
13,52,60.13 px,False
13,53,59.14 px,False
14,15,33.00 px,False
14,16,35.00 px,False
14,20,3.61 px,True
14,23,10.77 px,True
14,24,7.00 px,True
14,25,8.06 px,True
14,27,9.00 px,True
14,30,10.05 px,True
14,31,11.00 px,True
14,33,12.04 px,True
14,34,13.00 px,True
14,36,20.02 px,True
14,38,21.02 px,True
14,39,21.00 px,True
14,43,38.29 px,False
14,44,25.50 px,True
14,45,25.32 px,True
14,51,27.17 px,False
14,52,26.17 px,False
14,53,25.18 px,False
15,16,2.00 px,True
15,17,14.14 px,True
15,18,15.13 px,True
15,21,15.30 px,True
15,22,35.13 px,True
15,32,18.60 px,True
15,35,21.26 px,True
15,37,24.41 px,True
15,40,25.24 px,True
15,41,25.81 px,True
15,46,39.05 px,True
15,47,43.01 px,True
15,48,27.51 px,True
15,49,35.38 px,True
15,50,38.95 px,True
15,51,60.07 px,False
15,52,59.08 px,False
15,53,58.08 px,False
16,17,12.17 px,True
16,18,13.15 px,True
16,21,13.34 px,True
16,22,33.14 px,True
16,32,17.03 px,True
16,35,20.00 px,True
16,37,23.32 px,True
