region_id,num_nodes,avg_degree,num_endpoints,num_junctions,num_intermediate,associated_doors,centroid
2,15,11.2,0,15,0,D0,"(185, 100)"
3,36,11.25,0,35,1,"D0, D1, D2","(260, 125)"
4,13,10.23076923076923,0,13,0,"D1, D3","(197, 168)"
5,19,10.789473684210526,0,19,0,D3,"(152, 156)"
6,40,14.175,0,40,0,D2,"(286, 166)"
