node_id,x,y,type,degree,region
0,126,95,junction,6,border
105,158,95,junction,13,2
106,159,95,junction,13,2
107,160,95,junction,13,2
108,161,95,junction,13,2
109,162,95,junction,14,2
110,163,95,junction,16,2
111,164,95,junction,16,2
112,165,95,junction,15,2
113,166,95,junction,15,2
1,210,95,junction,5,2
2,129,98,junction,14,border
3,130,98,junction,15,border
4,144,98,junction,10,border
5,181,98,junction,11,2
6,129,99,junction,12,border
7,178,101,junction,7,2
8,147,102,junction,9,border
9,196,103,junction,11,2
10,197,103,junction,12,2
11,196,104,junction,8,2
12,201,104,junction,11,2
13,126,105,junction,4,border
14,191,112,junction,7,2
15,239,112,junction,9,3
16,290,113,endpoint,1,3
17,310,113,junction,8,3
18,319,113,junction,8,3
19,314,117,junction,9,3
20,315,117,junction,9,3
21,315,118,junction,8,3
22,147,121,junction,0,border
23,247,121,junction,16,3
24,246,122,junction,16,3
114,262,123,junction,12,3
115,263,123,junction,13,3
116,264,123,junction,13,3
117,265,123,junction,13,3
118,266,123,junction,13,3
25,248,124,junction,17,3
26,279,124,junction,8,3
27,315,124,junction,8,3
28,247,125,junction,17,3
29,249,125,junction,19,3
30,248,126,junction,19,3
31,213,127,junction,10,3
32,228,127,junction,11,3
33,219,128,junction,15,3
34,320,128,junction,9,3
35,308,131,junction,9,3
36,286,132,junction,5,3
119,203,137,junction,11,3
37,312,137,junction,15,3
120,203,138,junction,10,3
38,254,141,junction,12,3
39,253,142,junction,11,3
40,190,143,junction,14,4
41,254,143,junction,12,3
42,253,144,junction,9,3
43,140,145,junction,6,5
44,254,145,junction,11,3
121,285,145,junction,13,3
45,167,146,junction,12,5
46,253,146,junction,8,3
47,313,148,junction,10,6
48,320,149,junction,14,6
49,198,151,junction,10,4
50,316,152,junction,10,6
51,317,152,junction,13,6
52,317,153,junction,13,6
53,148,154,junction,17,5
54,159,154,junction,16,5
55,317,154,junction,12,6
56,148,155,junction,17,5
57,149,155,junction,17,5
122,177,155,junction,20,5
123,178,155,junction,17,5
124,179,155,junction,16,4
125,180,155,junction,15,4
126,181,155,junction,17,4
127,182,155,junction,17,4
128,183,155,junction,16,4
58,197,155,junction,16,4
59,316,155,junction,12,6
60,317,155,junction,9,6
61,157,156,junction,15,5
62,156,157,junction,13,5
63,157,157,junction,11,5
64,286,158,junction,13,6
65,320,158,junction,8,6
66,285,159,junction,19,6
67,140,163,junction,7,5
68,166,166,junction,18,5
69,259,166,junction,11,6
70,285,166,junction,16,6
71,259,167,junction,11,6
72,260,167,junction,10,6
73,285,169,junction,15,6
74,286,170,junction,15,6
75,287,170,junction,16,6
76,299,170,junction,28,6
77,283,171,junction,12,6
78,286,171,junction,13,6
79,249,177,junction,3,6
80,198,178,junction,6,4
81,320,178,junction,8,6
82,197,179,junction,5,4
83,198,179,junction,6,4
84,151,181,junction,9,5
85,272,182,junction,16,6
86,286,182,junction,19,6
87,315,182,junction,11,6
88,316,182,junction,10,6
89,285,183,junction,19,6
90,316,183,junction,10,6
91,151,184,junction,6,5
92,316,184,junction,10,6
93,151,185,junction,5,5
94,152,185,junction,5,5
95,316,185,junction,11,6
96,317,185,junction,10,6
97,149,187,junction,6,5
98,154,187,junction,5,5
99,189,187,junction,3,4
100,206,187,junction,3,4
101,280,188,junction,12,6
102,313,188,junction,8,6
103,320,188,junction,10,6
104,291,189,junction,6,6
