node_id,x,y,type,degree,region
0,240,77,junction,11,2
1,202,83,junction,13,2
2,232,86,junction,15,2
3,221,88,junction,13,2
4,222,88,junction,13,2
5,222,89,junction,11,2
6,209,90,junction,12,2
7,192,96,junction,16,2
8,245,97,junction,13,2
9,247,98,junction,14,3
10,195,99,junction,15,2
11,196,99,junction,15,2
12,195,100,junction,13,4
13,252,103,junction,16,3
14,253,103,junction,15,3
15,252,104,junction,15,3
16,222,106,junction,13,2
17,260,106,junction,12,3
18,223,112,junction,9,2
19,222,113,junction,9,2
20,223,113,junction,10,2
21,195,114,junction,8,4
22,250,114,junction,12,3
23,249,115,junction,14,3
24,250,115,junction,14,3
25,201,116,junction,13,4
26,234,116,junction,22,2
27,242,116,junction,23,3
28,192,117,junction,14,4
29,200,117,junction,22,4
30,252,117,junction,16,3
31,193,136,junction,15,5
32,199,136,junction,22,5
33,219,136,junction,24,5
34,224,136,junction,25,5
35,221,138,junction,17,5
36,222,138,junction,19,5
37,196,139,junction,24,5
38,221,139,junction,23,5
39,202,141,junction,20,5
40,218,141,junction,15,5
41,197,142,junction,27,5
42,222,143,junction,13,5
43,222,144,junction,13,5
44,223,144,junction,13,5
45,220,146,junction,16,5
46,230,146,junction,13,6
47,229,147,junction,16,6
48,197,148,junction,22,5
49,196,149,junction,22,5
50,197,150,junction,22,5
51,236,151,junction,19,6
52,197,153,junction,22,5
53,196,154,junction,22,5
54,233,154,junction,13,6
55,265,154,junction,3,6
56,197,155,junction,22,5
57,196,167,junction,20,7
58,197,168,junction,21,7
59,196,169,junction,21,7
60,197,170,junction,19,7
61,196,171,junction,21,7
62,197,172,junction,19,7
63,196,173,junction,21,7
64,197,174,junction,19,7
65,197,178,junction,19,7
66,196,184,junction,28,7
67,197,185,junction,26,7
68,196,186,junction,26,7
69,220,187,junction,8,7
70,210,198,junction,14,7
71,209,199,junction,15,7
72,210,199,junction,14,7
73,205,200,junction,18,7
74,206,200,junction,18,7
75,205,201,junction,19,7
76,220,207,junction,11,7
77,288,211,junction,9,8
78,238,212,junction,12,9
79,276,212,junction,11,8
80,258,213,junction,10,9
81,275,213,junction,9,8
107,199,215,junction,15,7
82,244,215,junction,10,9
108,198,216,junction,16,7
109,198,217,junction,17,7
83,282,217,junction,8,8
110,198,218,junction,19,7
84,283,218,junction,8,8
111,198,219,junction,17,7
112,198,220,junction,15,7
113,198,221,junction,16,7
85,287,221,junction,8,8
114,198,222,junction,16,7
86,245,226,junction,11,9
87,244,227,junction,11,9
88,245,228,junction,11,9
89,282,228,junction,10,8
90,281,229,junction,10,8
91,245,232,junction,11,10
92,244,233,junction,10,10
93,245,234,junction,10,10
94,282,234,junction,9,8
95,199,237,junction,12,7
96,203,237,junction,12,7
97,202,238,junction,11,7
98,207,238,junction,10,7
99,243,242,junction,9,10
100,240,244,junction,8,10
101,284,245,junction,4,8
102,285,245,junction,5,8
103,249,247,junction,9,10
104,195,257,junction,14,7
105,192,260,junction,9,7
106,198,261,intermediate,2,7
