node1,node2,distance,same_region
0,2,4.24 px,True
0,3,5.00 px,True
0,4,18.25 px,True
0,6,5.00 px,True
0,8,22.14 px,True
0,13,10.00 px,True
105,2,29.15 px,False
105,3,28.16 px,False
105,4,14.32 px,False
105,6,29.27 px,False
105,8,13.04 px,False
105,106,1.00 px,True
105,107,2.00 px,True
105,108,3.00 px,True
105,109,4.00 px,True
105,110,5.00 px,True
105,111,6.00 px,True
105,112,7.00 px,True
105,113,8.00 px,True
106,2,30.15 px,False
106,3,29.15 px,False
106,4,15.30 px,False
106,6,30.27 px,False
106,8,13.89 px,False
106,107,1.00 px,True
106,108,2.00 px,True
106,109,3.00 px,True
106,110,4.00 px,True
106,111,5.00 px,True
106,112,6.00 px,True
106,113,7.00 px,True
107,2,31.14 px,False
107,3,30.15 px,False
107,4,16.28 px,False
107,6,31.26 px,False
107,8,14.76 px,False
107,108,1.00 px,True
107,109,2.00 px,True
107,110,3.00 px,True
107,111,4.00 px,True
107,112,5.00 px,True
107,113,6.00 px,True
108,2,32.14 px,False
108,3,31.14 px,False
108,4,17.26 px,False
108,6,32.25 px,False
108,8,15.65 px,False
108,109,1.00 px,True
108,110,2.00 px,True
108,111,3.00 px,True
108,112,4.00 px,True
108,113,5.00 px,True
109,2,33.14 px,False
109,3,32.14 px,False
109,4,18.25 px,False
109,6,33.24 px,False
109,7,17.09 px,True
109,8,16.55 px,False
109,110,1.00 px,True
109,111,2.00 px,True
109,112,3.00 px,True
109,113,4.00 px,True
110,2,34.13 px,False
110,3,33.14 px,False
110,5,18.25 px,True
110,6,34.23 px,False
110,7,16.16 px,True
110,8,17.46 px,False
110,10,34.93 px,True
110,12,39.05 px,True
110,111,1.00 px,True
110,112,2.00 px,True
110,113,3.00 px,True
111,2,35.13 px,False
111,3,34.13 px,False
111,5,17.26 px,True
111,6,35.23 px,False
111,7,15.23 px,True
111,9,32.98 px,True
111,10,33.96 px,True
111,12,38.08 px,True
111,112,1.00 px,True
111,113,2.00 px,True
112,2,36.12 px,False
112,3,35.13 px,False
112,5,16.28 px,True
112,7,14.32 px,True
112,9,32.02 px,True
112,10,32.98 px,True
112,12,37.11 px,True
112,113,1.00 px,True
113,2,37.12 px,False
113,3,36.12 px,False
113,5,15.30 px,True
113,7,13.42 px,True
113,9,31.05 px,True
113,10,32.02 px,True
113,12,36.14 px,True
1,9,16.12 px,True
1,10,15.26 px,True
1,11,16.64 px,True
1,12,12.73 px,True
1,14,25.50 px,True
2,3,1.00 px,True
2,4,15.00 px,True
2,6,1.00 px,True
2,13,7.62 px,True
3,4,14.00 px,True
3,6,1.41 px,True
3,8,17.46 px,True
3,13,8.06 px,True
4,6,15.03 px,True
4,8,5.00 px,True
5,7,4.24 px,True
5,9,15.81 px,True
5,10,16.76 px,True
5,11,16.16 px,True
5,12,20.88 px,True
5,14,17.20 px,True
5,33,48.41 px,False
6,13,6.71 px,True
7,14,17.03 px,True
9,10,1.00 px,True
9,11,1.00 px,True
9,12,5.10 px,True
9,14,10.30 px,True
9,31,29.41 px,False
9,33,33.97 px,False
10,11,1.41 px,True
10,12,4.12 px,True
10,14,10.82 px,True
10,31,28.84 px,False
10,33,33.30 px,False
11,12,5.00 px,True
11,14,9.43 px,True
11,31,28.60 px,False
11,33,33.24 px,False
12,14,12.81 px,True
12,31,25.94 px,False
15,23,12.04 px,True
15,24,12.21 px,True
15,25,15.00 px,True
15,28,15.26 px,True
