node1,node2,distance,same_region
0,2,12.04 px,True
0,3,21.95 px,True
0,4,21.10 px,True
0,5,21.63 px,True
0,8,20.62 px,True
0,16,34.13 px,True
0,22,38.33 px,False
0,23,39.05 px,False
0,24,39.29 px,False
0,31,75.43 px,False
0,32,71.85 px,False
1,3,19.65 px,True
1,4,20.62 px,True
1,5,20.88 px,True
1,6,9.90 px,True
1,7,16.40 px,True
1,10,17.46 px,True
1,11,17.09 px,True
1,12,18.38 px,False
1,18,35.81 px,True
1,21,31.78 px,False
1,26,45.97 px,True
1,27,51.86 px,False
1,28,35.44 px,False
2,3,11.18 px,True
2,4,10.20 px,True
2,5,10.44 px,True
2,6,23.35 px,True
2,7,41.23 px,True
2,8,17.03 px,True
2,9,19.21 px,False
2,13,26.25 px,False
2,14,27.02 px,False
2,15,26.91 px,False
2,16,22.36 px,True
2,17,34.41 px,False
2,31,63.41 px,False
2,32,59.91 px,False
3,4,1.00 px,True
3,5,1.41 px,True
3,6,12.17 px,True
3,7,30.08 px,True
3,10,28.23 px,True
3,11,27.31 px,True
3,16,18.03 px,True
3,18,24.08 px,True
3,19,25.02 px,True
3,20,25.08 px,True
4,5,1.00 px,True
4,6,13.15 px,True
4,7,31.05 px,True
4,10,29.15 px,True
4,11,28.23 px,True
4,16,18.00 px,True
4,18,24.02 px,True
4,19,25.00 px,True
4,20,25.02 px,True
5,6,13.04 px,True
5,7,30.81 px,True
5,16,17.00 px,True
5,18,23.02 px,True
5,19,24.00 px,True
5,20,24.02 px,True
6,7,18.03 px,True
6,10,16.64 px,True
6,11,15.81 px,True
6,12,17.20 px,False
6,16,20.62 px,True
6,26,36.07 px,True
6,27,42.01 px,False
7,10,4.24 px,True
7,11,5.00 px,True
7,12,5.00 px,False
7,21,18.25 px,False
7,25,21.93 px,False
7,29,22.47 px,False
7,33,48.26 px,False
7,34,51.22 px,False
7,38,51.87 px,False
7,51,70.43 px,False
8,9,2.24 px,False
8,13,9.22 px,False
8,14,10.00 px,False
8,15,9.90 px,False
8,17,17.49 px,False
8,22,17.72 px,False
8,23,18.44 px,False
8,24,18.68 px,False
8,26,21.95 px,True
8,27,19.24 px,False
8,30,21.19 px,False
9,13,7.07 px,True
9,14,7.81 px,True
9,15,7.81 px,True
9,17,15.26 px,True
9,22,16.28 px,True
9,23,17.12 px,True
9,24,17.26 px,True
9,26,22.20 px,False
9,27,18.68 px,True
9,30,19.65 px,True
9,33,47.20 px,False
9,34,44.42 px,False
10,11,1.00 px,True
10,12,1.00 px,False
10,21,15.00 px,False
10,25,18.03 px,False
10,28,18.25 px,False
10,29,18.68 px,False
10,33,44.10 px,False
10,34,47.01 px,False
10,38,47.71 px,False
10,51,66.22 px,False
11,12,1.41 px,False
11,21,15.03 px,False
11,25,17.72 px,False
11,28,18.44 px,False
11,29,18.44 px,False
11,33,43.57 px,False
11,34,46.40 px,False
11,38,47.17 px,False
11,51,65.60 px,False
12,21,14.00 px,True
12,25,17.09 px,True
12,28,17.26 px,True
12,29,17.72 px,True
12,33,43.27 px,False
12,34,46.23 px,False
12,38,46.87 px,False
12,51,65.44 px,False
13,14,1.00 px,True
13,15,1.00 px,True
13,17,8.54 px,True
13,22,11.18 px,True
13,23,12.37 px,True
13,24,12.17 px,True
13,26,22.20 px,False
13,27,16.40 px,True
13,30,14.00 px,True
13,33,46.67 px,False
13,34,43.28 px,False
13,36,46.10 px,False
13,38,47.51 px,False
14,15,1.41 px,True
14,17,7.62 px,True
14,22,11.40 px,True
14,23,12.65 px,True
14,24,12.37 px,True
14,26,23.02 px,False
14,27,17.03 px,True
14,30,14.04 px,True
14,34,43.93 px,False
14,36,46.75 px,False
14,38,48.17 px,False
15,17,8.25 px,True
15,22,10.20 px,True
15,23,11.40 px,True
15,24,11.18 px,True
15,26,21.63 px,False
15,27,15.62 px,True
15,30,13.00 px,True
15,34,42.52 px,False
15,36,45.34 px,False
15,38,46.75 px,False
16,18,6.08 px,True
16,19,7.00 px,True
16,20,7.07 px,True
16,26,15.62 px,True
16,27,22.36 px,False
16,31,41.73 px,False
16,32,37.80 px,False
17,22,12.81 px,True
17,23,14.21 px,True
17,24,13.45 px,True
17,26,27.86 px,False
17,27,20.59 px,True
17,30,13.60 px,True
18,19,1.41 px,True
18,20,1.00 px,True
18,26,11.70 px,True
18,27,19.42 px,False
19,20,1.00 px,True
19,26,12.37 px,True
19,27,20.22 px,False
19,30,30.27 px,False
20,26,11.40 px,True
20,27,19.24 px,False
20,29,23.35 px,False
20,30,29.27 px,False
21,25,6.32 px,True
21,28,4.24 px,True
21,29,5.83 px,True
22,23,1.41 px,True
22,24,1.00 px,True
22,26,16.12 px,False
22,27,8.25 px,True
22,30,3.61 px,True
23,24,1.00 px,True
23,26,15.03 px,False
23,27,7.07 px,True
23,28,57.04 px,False
23,29,49.04 px,False
23,30,3.61 px,True
24,26,16.03 px,False
24,27,8.06 px,True
24,28,58.03 px,False
24,29,50.04 px,False
24,30,2.83 px,True
25,26,33.00 px,False
25,27,41.00 px,False
25,28,9.06 px,True
25,29,1.41 px,True
25,30,51.01 px,False
25,33,26.91 px,False
25,35,29.73 px,False
25,47,41.77 px,False
26,27,8.00 px,False
26,28,42.01 px,False
26,29,34.01 px,False
26,30,18.03 px,False
26,33,25.00 px,False
26,34,22.36 px,False
27,28,50.01 px,False
27,29,42.01 px,False
27,30,10.05 px,True
27,34,26.91 px,False
27,36,29.73 px,False
27,38,31.14 px,False
28,29,8.00 px,True
28,30,60.00 px,False
28,31,19.03 px,False
28,32,20.25 px,False
29,30,52.00 px,False
29,31,20.25 px,False
29,32,19.03 px,False
29,33,26.87 px,False
29,35,29.70 px,False
29,58,51.09 px,False
29,59,52.15 px,False
29,61,54.15 px,False
29,63,56.14 px,False
29,66,67.12 px,False
31,32,6.00 px,True
31,37,4.24 px,True
31,39,10.30 px,True
31,41,7.21 px,True
31,48,12.65 px,True
31,49,13.34 px,True
31,50,14.56 px,True
31,52,17.46 px,True
31,53,18.25 px,True
31,56,19.42 px,True
32,37,4.24 px,True
32,39,5.83 px,True
32,40,19.65 px,True
32,41,6.32 px,True
32,48,12.17 px,True
32,49,13.34 px,True
32,50,14.14 px,True
32,52,17.12 px,True
32,53,18.25 px,True
32,56,19.10 px,True
32,57,31.14 px,False
32,58,32.06 px,False
32,59,33.14 px,False
32,61,35.13 px,False
32,63,37.12 px,False
32,66,48.09 px,False
33,34,5.00 px,True
33,35,2.83 px,True
33,36,3.61 px,True
33,38,3.61 px,True
33,39,17.72 px,True
33,40,5.10 px,True
33,41,22.80 px,True
33,42,7.62 px,True
33,43,8.54 px,True
33,44,8.94 px,True
33,45,10.05 px,True
33,46,14.87 px,False
33,47,14.87 px,False
33,51,22.67 px,False
33,54,22.80 px,False
34,35,3.61 px,True
34,36,2.83 px,True
34,38,4.24 px,True
34,39,22.56 px,True
34,40,7.81 px,True
34,41,27.66 px,True
34,42,7.28 px,True
